npm warn exec The following package was not found and will be installed: serve@14.2.5
 INFO  Accepting connections at http://localhost:5000
 HTTP  1/20/2026 2:05:06 AM ::1 GET /login.html
 HTTP  1/20/2026 2:05:06 AM ::1 Returned 301 in 231 ms
 HTTP  1/20/2026 2:05:06 AM ::1 GET /login
 HTTP  1/20/2026 2:05:06 AM ::1 Returned 200 in 11 ms
 HTTP  1/20/2026 2:05:06 AM ::1 GET /style.css
 HTTP  1/20/2026 2:05:06 AM ::1 GET /app.js
 HTTP  1/20/2026 2:05:06 AM ::1 Returned 200 in 3 ms
 HTTP  1/20/2026 2:05:06 AM ::1 Returned 200 in 3 ms
 HTTP  1/20/2026 2:05:07 AM ::1 GET /index.html
 HTTP  1/20/2026 2:05:07 AM ::1 Returned 301 in 1 ms
 HTTP  1/20/2026 2:05:07 AM ::1 GET /index
 HTTP  1/20/2026 2:05:07 AM ::1 Returned 301 in 1 ms
 HTTP  1/20/2026 2:05:07 AM ::1 GET /
 HTTP  1/20/2026 2:05:07 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 2:05:07 AM ::1 GET /style.css
 HTTP  1/20/2026 2:05:07 AM ::1 GET /app.js
 HTTP  1/20/2026 2:05:07 AM ::1 Returned 304 in 2 ms
 HTTP  1/20/2026 2:05:07 AM ::1 Returned 304 in 2 ms
 HTTP  1/20/2026 2:05:53 AM ::1 GET /login.html
 HTTP  1/20/2026 2:05:53 AM ::1 Returned 301 in 1 ms
 HTTP  1/20/2026 2:05:53 AM ::1 GET /login
 HTTP  1/20/2026 2:05:53 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 2:05:53 AM ::1 GET /style.css
 HTTP  1/20/2026 2:05:53 AM ::1 GET /app.js
 HTTP  1/20/2026 2:05:53 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 2:05:53 AM ::1 Returned 200 in 3 ms
 HTTP  1/20/2026 2:05:54 AM ::1 GET /index.html
 HTTP  1/20/2026 2:05:54 AM ::1 Returned 301 in 0 ms
 HTTP  1/20/2026 2:05:54 AM ::1 GET /index
 HTTP  1/20/2026 2:05:54 AM ::1 Returned 301 in 0 ms
 HTTP  1/20/2026 2:05:54 AM ::1 GET /
 HTTP  1/20/2026 2:05:54 AM ::1 Returned 200 in 1 ms
 HTTP  1/20/2026 2:05:54 AM ::1 GET /style.css
 HTTP  1/20/2026 2:05:54 AM ::1 GET /app.js
 HTTP  1/20/2026 2:05:54 AM ::1 Returned 304 in 0 ms
 HTTP  1/20/2026 2:05:54 AM ::1 Returned 304 in 1 ms
 HTTP  1/20/2026 2:05:56 AM ::1 GET /news.html
 HTTP  1/20/2026 2:05:56 AM ::1 Returned 301 in 0 ms
 HTTP  1/20/2026 2:05:56 AM ::1 GET /news
 HTTP  1/20/2026 2:05:56 AM ::1 Returned 200 in 2 ms
 HTTP  1/20/2026 2:05:56 AM ::1 GET /style.css
 HTTP  1/20/2026 2:05:56 AM ::1 GET /app.js
 HTTP  1/20/2026 2:05:56 AM ::1 Returned 304 in 1 ms
 HTTP  1/20/2026 2:05:56 AM ::1 Returned 304 in 1 ms
